Waktu,Ulasan,Pengguna,jtmC98,T79_5U,HcSdrS src (6),HcSdrS src (7),HcSdrS src (8)
"2024-01-09 18:29 | Variasi: Abu abu dop,M (57-58)","Kenapa yaaa bisa salah kirim gitu, yg di pesen Abu abu dop, yg dikirim Hitam. Apakah tidak teliti dalam mengemas paket untuk customer??? Selain itu juga di chat slow respon, sekalinya di respon malah ga menjawab beberapa pertanyaan. Yaa saya juga tau kalo kacamya kendor mungkin bisa dikencengin kalo ga terlalu bermasalah atau rusak. Pas Dikemas lamaa, nyampe nya pun lamaa... Awal tahun yg membagongkan, firsttime menerima paket yg ga sesuai sama pesanan. 

Lain kali lebih memperhatikan pesanan nya ya min🙏🏻",,,,,,
"2024-02-09 14:38 | Variasi: Hitam kilap,M (57-58)",Paket telah di terima dg baik kirain ORI tak tau nya..wkwkwk packing cukup terimakasih seller..,dikipurnama1974,,,,,
"2023-01-25 16:46 | Variasi: Putih,XL (61-62)","Pesen putih Xl, di kirm item. Udah mah kurang gede. G kepake. Taro atas lemari aja.",hikmat120389,,,,,
"2024-07-16 14:50 | Variasi: Hijau Armi dop,L (59-60)",perlu teliti lagi karna saya pesan warna army yg datang abu abu,imamzayadi762,,,,,
"2025-06-08 10:28 | Variasi: Pink stabilo,XL (61-62)",Pelapak tidak amanah...yg di order warna pink stabilo tp yg dikirim pink muda...jgn pernah beli di lapak ini klau tidak mau kecewa...😭😭,,,,,,
"2024-07-27 15:35 | Variasi: Hijau Armi dop,M (57-58)","Kecewa sih, order hijau army dop, maLah dkirim hitam, di heLm nya pengeLemannya juga tidak rapat,, tp Lumayan Lah dengan harga segitu. Next time Lebih teliti Lagi jika mau packing ngirim barangnya harus sesuai pesanan.",eqqichan,,,,,
"2024-08-06 17:23 | Variasi: Abu abu kilap,L (59-60)",Pas dibuka liat stikernya kaya tempelan sendiri trs bahannya tipis ehh pas iseng lepasin stiker depan ternyata buat nutupin stiker aslinya tapi ditulisnya original,nadhif__i,,,,,
"2022-12-26 19:39 | Variasi: Hitam kilap,XL (61-62)","Barang sudah sampai.
Pembungkusnya hancur untung barangnya baik-baik saja",nengahardiasa125,,,,,
"2025-03-27 13:07 | Variasi: Hitam dop,L (59-60)",,8f1aaw420a,,,,,
"2023-11-17 08:03 | Variasi: Putih,M (57-58)",,epot201187,,,,,
"2025-12-17 13:48 | Variasi: Abu abu kilap,M (57-58)","Nyesek bgt pas liat barang dtg, packing ancur, dlm lecet, helm bagian depan nya gak pas lg pas d pasang,, mana dtg nya lama pula 😩",,,,,,
"2023-04-05 20:20 | Variasi: Ice blue,L (59-60)","Sesuai harga, lumayan murah",bbljbg72,,,,,
"2024-01-05 19:34 | Variasi: Putih,M (57-58)","Barang datang dg selamat,pengiriman cepat.cuma spon dalem e dipakai kurang nyaman.mungkin emang harga segitu ya",jb9jn5hj48,,,,,
"2024-12-31 09:18 | Variasi: Merah ferari,M (57-58)",,,,,,,
"2023-10-18 09:19 | Variasi: Hitam dop,XL (61-62)",,rizalulkhaer,,,,,
"2026-01-22 23:35 | Variasi: Merah ferari,L (59-60)",Packing nya rusak tapi untung barangnya gpp,ariefsetiadisq8chod7kv,,,,,
"2025-12-10 12:07 | Variasi: Biru tua,L (59-60)",Mantap barang sesuai pesanan 👍,andrimatek90,,,,,
"2022-01-21 18:59 | Variasi: Ice blue,L (59-60)","Baguss, sesuaii pesanan👍",8fj_n_49pd,,,,,
"2025-10-02 15:30 | Variasi: Abu abu dop,XL (61-62)",,eibizein,,,,,
"2024-03-21 18:16 | Variasi: Biru tua dop,L (59-60)",,agusrizqi1111,,,,,
"2025-02-28 18:10 | Variasi: Abu abu dop,XL (61-62)",Dibeli aja,0fnsoj9xib,,,,,
"2025-04-19 12:38 | Variasi: Helmbogowarnarandom,XL (61-62)",Tidak dikemas secara profesional sehingga gampang pecah kait kaca kanan. Tidak tahu ini merk asli atau tidak,namyang.y2k,,,,,
"2025-07-24 19:36 | Variasi: Abu abu dop,XL (61-62)",Paketnya udh sy terima tp kali ini kurang memuakan gak kayak yg pertama sy beli itu bagus ini jelek banget terus ada yg pecah pokoknya gak memuaskan dh,yanikus,,,,,
"2026-03-31 20:30 | Variasi: Hijau Armi dop,L (59-60)",Mantappppppp,xlw8r21faz,,,,,
"2023-02-11 20:23 | Variasi: Abu abu dop,XL (61-62)","Barang tidak sesuai, cuma di ganti stiker dengan merek lain",pitos_olala,,,,,
"2026-04-07 18:06 | Variasi: Biru tua,XL (61-62)",,jaitur,,,,,
"2025-09-03 17:41 | Variasi: Putih,M (57-58)",Warna putih bahan bagus bisa buat pergi jalan jalan tanpa harus kena debu,88e2a9_ejn,,,,,
"2024-11-21 17:08 | Variasi: Biru tua,XL (61-62)",Bagus sih...tapi kecewa....helm nya retak,juwai773,,,,,
"2025-08-09 10:44 | Variasi: Putih,L (59-60)","Ada bekas lecet dari toko  di tutup sama Tipe-X
Harga murah sih",nazmuddinmakir,,,,,
"2023-01-27 17:28 | Variasi: Hijau Armi dop,M (57-58)",Barangnya bagus datangnya juga cepat,mahmudah719,,,,,
"2026-01-09 11:47 | Variasi: Hitam kilap,XL (61-62)",,n412thy,,,,,
"2025-08-11 14:29 | Variasi: Hitam dop,M (57-58)",,rukmanrukman548,,,,,
"2024-01-03 20:02 | Variasi: Biru tua dop,L (59-60)",,zakirkasimtowadi,,,,,
"2025-12-11 12:29 | Variasi: Hitam dop,XL (61-62)",,ekos90,,,,,
"2023-10-27 17:31 | Variasi: Abu abu kilap,M (57-58)",,y1l8mvtork,,,,,
"2025-12-10 15:07 | Variasi: Pink magenta,L (59-60), Merah maron,M (57-58)",,1rlzy_6nae,,,,,
"2025-06-11 10:33 | Variasi: Hitam dop,L (59-60)",,karyonokaryono862,,,,,
"2025-09-30 05:05 | Variasi: Biru tua dop,L (59-60)","Bagus ....gak ada yg cacat...packing aman...
Dengan harga segitu oke lah....
Keren...",,,,,,
"2023-03-26 12:14 | Variasi: Hitam kilap,XL (61-62)","Bagus helmet nya,tp kaca nya susah d buka",poetrajustsenk,,,,,
"2025-07-14 08:35 | Variasi: Hitam kilap,M (57-58)","cetakan dan busa tipis, kaca nya dari plastik mika biasa, heran yg bilang kualitas helm bagus, tampilan sesuai harga yg murah..an, apa benar sudah lulus SNI ?",,,,,,
"2025-12-17 13:17 | Variasi: Pink magenta,XL (61-62)","Palsu bgt barangnya. Katanya promo harga segitu, ternyata mmg barang palsu 🤣🤣",onicksaputri,,,,,
"2023-09-04 19:33 | Variasi: Putih,L (59-60)",banyak baret dan plastik rangka helm yg berlebih. packing kurang aman,,,,,,
"2024-08-27 00:34 | Variasi: Pink stabilo,M (57-58)","Barang bagus,ukuran pas mantul,terimakasih shopee",azzamputra531,,,,,
"2025-12-19 20:34 | Variasi: Hitam dop,XL (61-62)",,marrni838,,,,,
"2025-07-26 18:27 | Variasi: Hitam dop,L (59-60)",,ryonravi1,,,,,
"2025-12-05 18:23 | Variasi: Hitam dop,XL (61-62)",,asmaraade20,,,,,
"2026-04-08 20:51 | Variasi: Hitam kilap,L (59-60)","Terimakasih barang nyaa sudah sampaii ,, Sukses selalu nggeh 😍😍",wahyuni___11,,,,,
"2024-10-05 14:30 | Variasi: Abu abu dop,M (57-58)","Barang yg diterima tidak memuaskan,, karet kretnya pada lepas semua",iv2ek89pdk,,,,,
"2025-05-10 08:41 | Variasi: Hitam dop,M (57-58)",,sularsolarso693,,,,,
"2026-04-05 07:07 | Variasi: Maron dop,M (57-58)",,,,,,,
"2026-03-09 18:23 | Variasi: Hitam dop,XL (61-62)",,alvinrenaldy15,,,,,
"2026-02-14 12:03 | Variasi: Merah maron,M (57-58)","Ok banget,mksih seller",6sy0__iox3,,,,,
"2025-07-20 18:27 | Variasi: Abu abu dop,L (59-60)",Sesuai dg yg di harapkan👍,992pjtqc4q,,,,,
"2026-03-04 10:09 | Variasi: Hitam kilap,L (59-60)","Helem nya salah warna, aku pesannya warna hitam yang datang malah warna putih terus juga helem nya lecet tapi Oky lah untuk harga segitu",,,,,,
"2026-01-08 14:07 | Variasi: Abu abu kilap,XL (61-62)","Tampilannya bagus, sayang sekali lis karetnya yg didepan mengelupas dan kayak ke iris gitu. Waktu dipake juga terasa sesak di kepala saya. Pdhl saya ambil yg ukuran XL. Kemasannya juga kurang rapi. Tas helmnya sobek. Semoga kedepannya lbh diperbaiki lagi utk pelayanannya. Terima kasih.",atik.hartono,,,,,
"2026-02-19 14:44 | Variasi: Hitam dop,L (59-60)",,,,,,,
"2025-05-01 13:37 | Variasi: Hitam dop,M (57-58)","Lumayan lah, biar gak kepanasan kehujanan.",asepmaul0392,,,,,
"2023-04-14 10:24 | Variasi: Hitam dop,L (59-60)",,kopitindih,,,,,
"2026-04-11 07:32 | Variasi: Hitam dop,M (57-58)",,bhe74r18jt,,,,,
"2026-04-07 15:45 | Variasi: Hitam kilap,XL (61-62)",,feri_pal.2,,,,,
"2025-08-24 09:20 | Variasi: Hitam dop,L (59-60)",,pastimjoss,,,,,
"2026-02-01 10:58 | Variasi: Abu abu dop,XL (61-62)",,2zh7byce_f,,,,,
"2026-01-15 21:29 | Variasi: Biru tua dop,L (59-60)",,idhamprio,,,,,
"2025-06-22 21:32 | Variasi: Ice blue,XL (61-62)",Ya bagus cepat,saerahjaya_store,,,,,
"2025-08-07 18:27 | Variasi: Hijau Armi dop,M (57-58)",,,,,,,
"2025-07-24 20:45 | Variasi: Biru tua dop,L (59-60)",,andibae_76,,,,,
"2026-04-03 16:50 | Variasi: Hitam dop,M (57-58)",Free kardus?ya gasalah sih tapii. Ya udah lah.,syahrilaries5,,,,,
"2026-04-05 20:21 | Variasi: Abu abu dop,L (59-60)",,kangabay_asgar,,,,,
"2026-01-05 08:36 | Variasi: Kuning stabilo,XL (61-62)","Gk amanah. saya uda tambah uang utk packing kardus dn bublewrap tapi tdk ada kardus dan  hanya dimasukin ke plastik kresek gedek helm nya. Sementang kita kirim kenpapua ni toko kirim barang jelek ke sini, helem nya sompel2. Jangan beli lg gak bagus produknya",ratihkombih,,,,,
"2025-07-30 10:11 | Variasi: Hitam kilap,M (57-58)",sudah sampai.. semoga awet. trimakasih bos ku.😊🙏,udintunx,,,,,
"2025-11-16 16:55 | Variasi: Hitam kilap,M (57-58), Merah maron,M (57-58)",,sanulcbky1,,,,,
"2025-05-01 14:03 | Variasi: Abu abu dop,L (59-60)",Respon cepat barang bagus sesuai pesanan 👍,gakweh,,,,,
"2024-04-08 12:49 | Variasi: Biru tua dop,M (57-58)",,abdur_rozaq,,,,,
"2026-02-03 16:16 | Variasi: Hitam dop,XL (61-62)",,obr3d82,,,,,
"2025-07-23 22:34 | Variasi: Hitam kilap,XL (61-62)",,anisseptiana,,,,,
"2026-02-11 18:04 | Variasi: Hitam dop,L (59-60)",,maninn03,,,,,
"2025-12-07 20:22 | Variasi: Hitam dop,XL (61-62)",,itahdy85,,,,,
"2023-03-20 23:02 | Variasi: Hitam dop,L (59-60)","Brang sampe dgn selamat dan tnpa cacat, pengiriman ekspedisi cepat 2 hari sampe..

Kualitas barang sesuai harga...jgn berharap lebih..

Tulisan ink nya cm sticker yg ditempel...sedikit kaget jg...heee",angga_yuray,,,,,
"2025-05-02 13:23 | Variasi: Biru tua dop,M (57-58)",,,,,,,
"2025-09-30 18:50 | Variasi: Abu abu kilap,XL (61-62)",,,,,,,
"2025-06-21 08:48 | Variasi: Hitam dop,XL (61-62)","Kecewa dengan barang ini, belum dipakai sangkutan nya tidak terpasang.
Maaf utk toko ini TDK sesuai ekspektasi",1fht6urw_z,,,,,
"2023-03-12 17:29 | Variasi: Abu abu kilap,M (57-58)",Tampilannya bagus dan menarik.. Cm sayang saya pesen M tp kok kebesaran ya. 🤣,aupha48,,,,,
"2025-07-16 16:29 | Variasi: Hijau Armi dop,M (57-58)",,arazak848,,,,,
"2025-11-14 19:25 | Variasi: Hitam kilap,M (57-58)",,,,,,,
"2025-05-22 13:49 | Variasi: Ice blue,M (57-58)",,kaylafiljannah,,,,,
"2026-01-17 13:01 | Variasi: Hitam dop,M (57-58)",,dapurmamah676,,,,,
"2024-11-27 21:53 | Variasi: Biru tua dop,L (59-60)","Note: barang dtg dengan paking yg sdh acak""(rusak)
Untuk barangnya agak sedikit kendor di bagian kaca dan frame kaca",cfn6hwk_iw,,,,,
"2023-10-25 18:51 | Variasi: Merah maron,M (57-58)",,1ah_imv42u,,,,,
"2023-04-27 16:54 | Variasi: Hitam dop,XL (61-62)","Hanya g sesuai keinginan warna, pesannya hitam, yang diterima abu.",agus_monank,,,,,
"2025-10-27 17:29 | Variasi: Hitam kilap,L (59-60)","barang sudah diterima tapi aga kecewa ada yang patah dan lecet...
tapi ga apa-apa saya maklumi.",cepihermawan03,,,,,
"2023-09-08 19:28 | Variasi: Putih,M (57-58)",,asniyatulambar123,,,,,
"2023-04-16 20:47 | Variasi: Hijau Armi dop,XL (61-62)","lumayan bagus tapi pengirimannya lamaaaa, jnt sekarang sangat mengecewakan...., minta tolong untuk shopee tolong jangan menggunakan jnt lagi untuk mengirim barang, kurir tidak datang ke rumah, dibilang alamat salah, padahal sebelumnya kurir tersebut sudah pernah kirim barang ke rumah...",,,,,,
"2024-09-07 10:08 | Variasi: Hitam kilap,L (59-60)",,miskabahan10,,,,,
"2024-09-05 15:54 | Variasi: Abu abu kilap,M (57-58)",,nysa2209,,,,,
"2023-08-24 17:21 | Variasi: Putih,L (59-60)",👍cocok dngn harganya good,dediwahyudi45494549,,,,,
"2025-05-24 14:17 | Variasi: Hitam dop,L (59-60)",Ini helm palsu ternyata bukan ink parah ya Shopee bisa Terima barang seperti ini,234sutrisna,,,,,
"2025-07-31 18:08 | Variasi: Abu abu dop,L (59-60)",,afifahazlin,,,,,
"2024-03-29 15:58 | Variasi: Hitam dop,L (59-60)",Barang sudah mendarat dengan aman terima kasih,kukuhimami,,,,,
"2025-06-24 11:11 | Variasi: Merah ferari,L (59-60)",,jhekosunis,,,,,
"2025-07-21 14:07 | Variasi: Abu abu dop,L (59-60)","Ya....ada harga ada kualitas lah.... akhir ny ""merk asli"" ny terlihat...jujur aja bos dengan merk asli nya...biar dagang ny berkah...kita mah apa ath...makan bubur aja pake nasi",fadlianak2,,,,,
"2023-03-22 21:32 | Variasi: Hitam dop,XL (61-62)",,allegraputrikanaya,,,,,
"2024-07-04 14:06 | Variasi: Abu abu dop,M (57-58)","Sangat pas pemakaian y.
Sesuai dgn pesanan.
Tidak mengecewakan.",endrajaya447,,,,,
"2024-07-18 20:23 | Variasi: Hitam kilap,XL (61-62)",,lamberlembata23,,,,,
"2025-06-28 11:51 | Variasi: Biru tua,L (59-60)","Pas dipakai, warna sesuai deskripsi",fauziana111,,,,,
"2026-01-22 17:48 | Variasi: Hitam kilap,XL (61-62)",,papa_ghibran,,,,,
"2022-11-12 17:18 | Variasi: Hitam kilap,L (59-60)",,nsxgfdumr3,,,,,
"2025-06-09 23:33 | Variasi: Hijau Armi dop,XL (61-62)",,ahmad_ghoffar,,,,,
"2023-04-04 08:03 | Variasi: Biru tua dop,XL (61-62)","Barangnya oke cuma ada baret2 dikit mungkin karena pengiriman, thanks",rudijayaskyhouse,,,,,
"2025-03-24 18:33 | Variasi: Hitam dop,L (59-60)",Oke mantap,aep_wij4y4,,,,,
"2024-04-29 18:38 | Variasi: Abu abu kilap,L (59-60)",,adhibayunugroho95,,,,,
"2022-12-15 18:59 | Variasi: Hitam kilap,M (57-58)",Ada sedikit lecet tapi lain tidak masalah sih,naylaramadhani402,,,,,
"2023-04-05 22:49 | Variasi: Putih,L (59-60)",,sitimariyam088,,,,,
"2023-03-30 11:42 | Variasi: Abu abu dop,M (57-58)","Cacat
Biar foto yg berbicara",,,,,,
"2023-03-22 16:08 | Variasi: Abu abu kilap,M (57-58)",Keren sesuai pesanan,sarnali25,,,,,
"2025-07-20 07:51 | Variasi: Biru tua,XL (61-62)","Kualitas sesuai harga. Ada lecet, stiker terlepas,dan ada bagian yg patah (semua ada di gambar).",adhisoepardiman,,,,,
"2024-08-16 15:17 | Variasi: Merah ferari,M (57-58)",Bgus sih...walau gk ori mkasih seller shopee,3wvl7hcube,,,,,
"2023-02-28 12:07 | Variasi: Putih,L (59-60), Abu abu kilap,XL (61-62)",Bagus helmnya,iwanjerry77,,,,,
"2022-01-18 15:54 | Variasi: Hitam kilap,M (57-58)",Mayan lah oke,,,,,,
"2023-03-14 20:40 | Variasi: Putih,XL (61-62)",,7_t0j6qwln,,,,,
"2025-08-05 06:47 | Variasi: Putih,L (59-60)",Saya tidak bisa mengembalikan produk. Dan sangat kecewa ternyata barang yang saya beli adalah produk kawe. Harusnya di awal tulis saja kalo memang produk kawe,,,,,,
"2023-03-28 17:08 | Variasi: Abu abu kilap,M (57-58)",Sesuai harga,doni_andriyanto_29,,,,,
"2024-07-20 11:14 | Variasi: Hitam kilap,L (59-60)",,5ugugtb7zs,,,,,
"2025-07-22 16:33 | Variasi: Abu abu dop,XL (61-62)","INK cuma stiker kertas,merk aslinya SKS 
lumayan lah murah dan berguna.
makasih shopee pengiriman juga cepat sehari sudah sampai.",yuniyu16,,,,,
"2024-03-04 13:35 | Variasi: Hitam dop,XL (61-62)",,7mjlru5eqm,,,,,
"2024-08-15 08:37 | Variasi: Hijau Armi dop,L (59-60)",Sesuai harga,jaenuritgs,,,,,
"2024-09-19 08:51 | Variasi: Ice blue,XL (61-62)",Ada sedikit cacat,raja67,,,,,
"2023-02-25 16:45 | Variasi: Kuning stabilo,M (57-58)",Kaca helmnya keras.susah naik susah turun.banyak yg kecet,,,,,,
"2025-01-21 12:26 | Variasi: Hijau Armi dop,L (59-60)",Lumayan bagus,loebismotor163_,,,,,
"2025-11-14 05:19 | Variasi: Maron dop,L (59-60)",,talitha.yumna,,,,,
"2025-05-27 16:30 | Variasi: Hitam dop,L (59-60)",,rynaandri,,,,,
"2024-07-15 17:53 | Variasi: Hitam dop,L (59-60), Putih,XL (61-62)",Bagus bangetttt. Thanks seller,yudha0102,,,,,
"2024-07-11 13:14 | Variasi: Abu abu dop,L (59-60)",,wf935s7tp9,,,,,
"2020-12-20 13:14 | Variasi: Ice blue,M (57-58)",Pengiriman sangat cepat,egiahmadramdani,,,,,
"2023-02-01 18:16 | Variasi: Putih,L (59-60)",Lumayan helmnya mirip yg original,yanu_light,,,,,
"2025-12-22 11:35 | Variasi: Hitam kilap,XL (61-62)","Di terima dalam keadaan peking sudah banyak yg sobek. Namun barang masih aman,kwalitas sesuai harga.",sarif_din,,,,,
"2022-12-22 17:22 | Variasi: Kuning stabilo,M (57-58)","Ok lah, semoga awet",eddypurw1976,,,,,
"2023-01-21 15:27 | Variasi: Ice blue,L (59-60)",Luar biasa krenn mantap,sanrius_neandro,,,,,
"2025-11-06 18:45 | Variasi: Putih,M (57-58)",,ferryspq195,,,,,
"2026-01-10 11:50 | Variasi: Hitam kilap,XL (61-62)","Dari gambar seolah meyakinkan. Namun setelah barang sampai tidak disangka kecil banget untuk ukuran XL. Bahkan dibandingin sama helm KYT ukuran M jauh banget. Minimal ukurannya bener-bener lebar XL tuh, lah ini kaya ukuran S. Ada sticker DOT tapi ga menyesuaikan ukuran.",,,,,,
"2025-12-04 17:29 | Variasi: Merah ferari,XL (61-62)",,yaudiyaudi379,,,,,
"2023-05-28 15:20 | Variasi: Hitam dop,XL (61-62)","Mantap dah pesanan sudah sampai dlm tujuan
Cuma kebesaran ja
Untuk semua nya mantaaaaaap",fauzidavid_87,,,,,
"2026-01-29 21:30 | Variasi: Hitam kilap,XL (61-62)",Produk cacat namun tetap di kirim,angga_efraimta,,,,,
"2025-05-21 19:08 | Variasi: Putih,M (57-58)",Kwalitas sesuai harga👍,edybaryton,,,,,
"2022-04-05 19:22 | Variasi: Hitam kilap,XL (61-62)",Makasih,th4awp8u1s,,,,,
"2023-04-17 11:09 | Variasi: Maron dop,L (59-60)",,sv9ix1w0sr,,,,,
"2024-12-28 12:51 | Variasi: Abu abu kilap,M (57-58)",Sesuai harga. Bagus👍,thq7nhxhti,,,,,
"2025-09-28 18:07 | Variasi: Abu abu dop,M (57-58)","Barang dipesan sesuai dengan gambar, ukuran nya terlalu pas kurang sedikit ruang, packing nya sebenernya bagus dan harusnya aman tetapi beberapa bagian ada yang potong walaupun gak mayor. Cukup puas dengan design nya, Terima kasih.",hikmatsyah99,,,,,
"2026-02-26 17:19 | Variasi: Hitam dop,M (57-58)",Pas mantap,masudin22587,,,,,
"2026-01-06 19:36 | Variasi: Hijau Armi dop,XL (61-62)",,su.kardy,,,,,
"2025-12-07 05:45 | Variasi: Hitam kilap,XL (61-62)","Realpict
Harga terjangkau
Recomended",suhendi_usman86,,,,,
"2023-10-11 14:47 | Variasi: Hijau Armi dop,L (59-60)",Packing untuk dalam ada bubble wrapnya tp kardusnya kurang bagus.,lukiepristy,,,,,
"2024-07-06 12:26 | Variasi: Maron dop,L (59-60)",,irfanobe21,,,,,
"2023-12-18 17:35 | Variasi: Putih,L (59-60)","Ko helmnya bau cat.
Sma ada bekas cat kasar trus bagian depan atas kaca ko kasar dan tipis banget.",enakacuy,,,,,
"2026-02-02 14:54 | Variasi: Hitam kilap,XL (61-62)","Helm sesuai dengan foto,tapi yang saya pesan ukuran XL, kok yg dtg sempit, GK nyaman, setelah aq cek sama helm tetangga ternyata ni ukuran L.pantesan sempit,soalnya biasanya aq pke XL gk sempit, trus pengait kancing ny GK ada sebelah,jd GK bisa di kancing kn helem ny,vgk puas GK rekomendasi bget toko ini,",k562wm4h60,,,,,
"2026-01-16 08:28 | Variasi: Biru tua dop,XL (61-62)",,,,,,,
"2024-09-22 17:22 | Variasi: Hitam dop,XL (61-62)",👍👍👍👍,91lsspkif6,,,,,
"2023-05-03 15:49 | Variasi: Hijau Armi dop,M (57-58)","Pesan ukuran M yg dtg L 
Warna juga gak sesuai minta wrn ijo dop malah dtg wrn merah anjiiirrrre nih dagangnya kurang teliti n tdk recomend!!",hendrabagus076,,,,,
"2025-06-23 12:18 | Variasi: Hijau Armi dop,L (59-60)",,astiyasuhardika,,,,,
"2024-08-06 12:01 | Variasi: Hitam dop,L (59-60)",Labelnya cuma stiker kertas. Yah rada kecewa deh.,noviqia23,,,,,
"2023-04-14 11:56 | Variasi: Abu abu dop,M (57-58)","Awal pesan abu doop, katanya barang gak ada... Dikasih pilihan saya ganti hitam doop laaah kok warna hijau yg datang... Klo mmg gak ada bilang gak ada aja jd gak nunggu lama plus warna makin beda dr pilihan...
Maaf ya soalnya kita jd kecewa .. walaupun brg bagus tp gak sesuai tp konfirmasi",iiput537,,,,,
"2024-03-05 16:14 | Variasi: Ice blue,M (57-58)",,donomoroartoseno,,,,,
"2025-08-05 06:32 | Variasi: Ice blue,L (59-60)",Antara harga yang harus dibayar sama kualitas barang sebanding ya kak,,,,,,
"2026-01-10 19:54 | Variasi: Putih,L (59-60)",Ada harga ada rupa. Jangan ngarep banyak.,,,,,,
"2025-06-23 18:41 | Variasi: Hitam kilap,XL (61-62)",,,,,,,
"2023-10-27 18:11 | Variasi: Hitam kilap,M (57-58)","Terima kasih kak, pengirimannya cepat, pengemasannya ok, produknya bagus, semoga cocok dan bisa reorder trs. Sukses selalu.",,,,,,
"2024-01-01 12:59 | Variasi: Abu abu dop,M (57-58)",Barang kurang bagus mau bilang ssuai harga tapi dngan harga segitu bisa dapat barang bagus dengan merk sendiri bukan merek tempelan yang aslinya helm sks .. ini masuk katagori pembajakan merek .. mending di jual dngan merek sks aja dari pada harus beli tempelan ink tapi mengecewakan,,,,,,
"2023-05-13 23:54 | Variasi: Hitam kilap,M (57-58)","Pengiriman lama banget sampe 5 hari,niat mau dibatalin tapi udah dikirim ,,pas sampe malah Kya gitu lengket sama lem jadi ngga enak aja diliatnya",rahmarahma2210,,,,,
"2024-05-19 19:04 | Variasi: Abu abu dop,M (57-58)",Mantap,suwandi310,,,,,
"2024-08-26 13:03 | Variasi: Hitam dop,L (59-60)",Mantap,qv4ffgvvr9,,,,,
"2025-12-22 13:33 | Variasi: Hitam dop,L (59-60)",Terima kasih helmnya sudah sampai 🙏,novianty5yiaima8bd,,,,,
"2024-07-11 10:28 | Variasi: Abu abu kilap,M (57-58)",Cakepp kereennn....👍👍,rmd67cpnqi,,,,,
"2025-11-20 21:20 | Variasi: Hijau Armi dop,L (59-60)",,nandangkhoerudin343,,,,,
"2023-01-06 15:37 | Variasi: Abu abu kilap,L (59-60)",Baru kali ini pesan helm berasa Nerima sampah. packing nya ya Allah parah. Sangat hancur.. helm nya sudah retak dan pecah... Saya gak tau ini dari toko atau kurir nya.. astaga 120rb sia-sia aja.,epran_sukaidi,,,,,
"2024-09-17 09:51 | Variasi: Hitam dop,L (59-60)","Kurang sesuai pesanan ,warna hitam dop yg dtang metalik ,kurang teliti .teledor ,kurang puas 
Pekik asal2 kan. Akibat nya  hlem  pegot ,",7eel1e6fmo,,,,,
"2025-05-05 19:16 | Variasi: Biru tua dop,XL (61-62)","Helmnya tipis.. Jlek
Dh gtu kurirrnya gk amanah pekinganya  penyok helmnya ptahh
Nyesel blnja dsni",4riess,,,,,
"2025-04-05 14:29 | Variasi: Hitam dop,M (57-58)",Terimakasih,,,,,,
"2024-07-26 19:03 | Variasi: Hitam dop,M (57-58)","Overall bagus tampak luar depan cuman bagian dalam jaitanya kurang rapi, ya maklum diharga segitu sih ya , mohon kedepanya kalo bisa dalemanya dirapihkan agar makin sempurna 👍
Terima kasih 🙏",miftahullfajry,,,,,
"2025-05-21 12:19 | Variasi: Abu abu dop,M (57-58)",,jm23ydri9h,,,,,
"2023-03-25 17:24 | Variasi: Hitam dop,M (57-58)",Bagus cepat,nurwakhid555,,,,,
"2023-06-25 12:29 | Variasi: Merah maron,M (57-58)",Kemasannya buruk sekali... Kotaknya kebuka... Sehingga helemnya lecet... Tolong diperbaiki lagi...,irdahamijah,,,,,
"2025-05-28 17:04 | Variasi: Hitam kilap,XL (61-62)",Mantap,kembhangsetaman,,,,,
"2025-05-05 20:00 | Variasi: Abu abu dop,XL (61-62)",,jokocoops,,,,,
"2026-01-05 07:55 | Variasi: Merah maron,M (57-58)","Lumayan stylelis, bahan agak tipis disesuaikan dengan harga. Pemasangan bahan kurang rapi harus dandan lagi untuk pembenahan dudukan sparepart helm. Terdapat lecet di body helm sebelah kanan ketika produk dibuka dalam bungkus kantong. Untuk kelas lowclass sangat pas.",andikayb,,,,,
"2023-09-12 11:42 | Variasi: Hitam kilap,XL (61-62)",,edyfebrian_25,,,,,
"2026-01-09 20:56 | Variasi: Merah maron,XL (61-62)","Sesuai harga aja warna menarik cantik pilih ukuran XL tp ternyta kurang besar di helm tidak ada tulisan size nya,,, jujur expektasi saya terlalu tinggi hehehehe,, mungkin next mau cari yang kw 1 tp helm ini lumayan cantik warnanya seller juga gercep pengiriman juga cepat",,,,,,
"2021-01-21 11:52 | Variasi: Hitam kilap,M (57-58)",Mumdah mudahan awet yah,,,,,,
"2024-04-08 10:47 | Variasi: Abu abu kilap,XL (61-62)",,fikry26399,,,,,
"2023-08-30 12:24 | Variasi: Hitam dop,L (59-60)",Makash,,,,,,
"2025-07-15 18:50 | Variasi: Biru tua dop,M (57-58)","Packingan biasa, napa gak pake kotak kak? Pengiriman agak lama, semoga kualitas bagus, terima kasih.",,,,,,
"2025-07-22 18:31 | Variasi: Hitam kilap,L (59-60)",,t2p93rjque,,,,,
"2023-04-13 13:34 | Variasi: Kuning stabilo,XL (61-62)",Jd tidak bisa dipakai dg baik helmnya.,estersilviana12,,,,,
"2023-01-23 08:32 | Variasi: Putih,M (57-58)",Terimakasih gan...warna tidak sesuai tapi gpp lah modelnya masih sma.pesan putih yg datang hijau,miqbael,,,,,
"2024-02-07 12:42 | Variasi: Merah ferari,M (57-58)",,aza0306,,,,,
